test      , build_-O2_-m32_-msse_-mno-avx_-ftree-vectorize , build_-O2_-m32_-msse_-mno-avx_-fno-tree-vectorize , build_-O2_-m32_-msse_-mno-avx_-ftree-vectorize_-D_EIGEN_DONT_VECTORIZE , build_-O2_-m32_-msse_-mno-avx_-fno-tree-vectorize_-D_EIGEN_DONT_VECTORIZE , build_-O3_-m32_-msse_-mno-avx_-ftree-vectorize , build_-O3_-m32_-msse_-mno-avx_-fno-tree-vectorize , build_-O3_-m32_-msse_-mno-avx_-ftree-vectorize_-D_EIGEN_DONT_VECTORIZE , build_-O3_-m32_-msse_-mno-avx_-fno-tree-vectorize_-D_EIGEN_DONT_VECTORIZE , build_-O2_-m64_-msse_-mno-avx_-ftree-vectorize , build_-O2_-m64_-msse_-mno-avx_-fno-tree-vectorize , build_-O2_-m64_-msse_-mno-avx_-ftree-vectorize_-D_EIGEN_DONT_VECTORIZE , build_-O2_-m64_-msse_-mno-avx_-fno-tree-vectorize_-D_EIGEN_DONT_VECTORIZE , build_-O3_-m64_-msse_-mno-avx_-ftree-vectorize , build_-O3_-m64_-msse_-mno-avx_-fno-tree-vectorize , build_-O3_-m64_-msse_-mno-avx_-ftree-vectorize_-D_EIGEN_DONT_VECTORIZE , build_-O3_-m64_-msse_-mno-avx_-fno-tree-vectorize_-D_EIGEN_DONT_VECTORIZE
orig      , 661.17                                         , 653.567                                           , 654.267                                                                , 656.635                                                                   , 643.737                                        , 640.946                                           , 631.164                                                                , 633.676                                                                   , 530.82                                         , 510.156                                           , 516.019                                                                , 506.707                                                                   , 507.859                                        , 503.294                                           , 501.607                                                                , 503.114
eigen_NxN , 563.405                                        , 564.902                                           , 555.928                                                                , 550.206                                                                   , 533.137                                        , 533.269                                           , 532.477                                                                , 528.159                                                                   , 477.929                                        , 434.576                                           , 415.143                                                                , 391.415                                                                   , 428.645                                        , 413.967                                           , 398.961                                                                , 353.427
